normalised_synonym	normalised_id
steroid synthesis	GO:0006694
steroid formation	GO:0006694
steroidogenesis	GO:0006694
steroid anabolism	GO:0006694
steroid biosynthesis	GO:0006694
cholesterol formation	GO:0006695
cholesterol anabolism	GO:0006695
cholesterol biosynthesis	GO:0006695
cholesterol synthesis	GO:0006695
bile acid synthesis	GO:0006699
bile acid formation	GO:0006699
bile acid anabolism	GO:0006699
bile acid biosynthesis	GO:0006699
cholesterol catabolism	GO:0006707
cholesterol breakdown	GO:0006707
cholesterol degradation	GO:0006707
ubiquinone formation	GO:0006744
coenzyme q biosynthetic process	GO:0006744
ubiquinone anabolism	GO:0006744
ubiquinone biosynthesis	GO:0006744
ubiquinone synthesis	GO:0006744
coenzyme q biosynthesis	GO:0006744
glutathione metabolism	GO:0006749
nucleoside phosphate metabolism	GO:0006753
atp formation	GO:0006754
atp synthesis	GO:0006754
atp anabolism	GO:0006754
atp biosynthesis	GO:0006754
vitamin metabolism	GO:0006766
biotin metabolism	GO:0006768
vitamin h metabolism	GO:0006768
vitamin b7 metabolism	GO:0006768
vitamin b7 metabolic process	GO:0006768
vitamin h metabolic process	GO:0006768
thiamin metabolism	GO:0006772
vitamin b1 metabolism	GO:0006772
thiamine metabolism	GO:0006772
thiamin metabolic process	GO:0006772
vitamin b1 metabolic process	GO:0006772
vitamin a metabolism	GO:0006776
sulphur metabolic process	GO:0006790
sulfur metabolism	GO:0006790
sulphur metabolism	GO:0006790
phosphorus metabolism	GO:0006793
phosphate metabolism	GO:0006796
iron transport	GO:0006826
cellular copper ion homeostasis	GO:0006878
hydrogen ion homeostasis	GO:0006885
programmed cell death by apoptosis	GO:0006915
apoptotic cell death	GO:0006915
apoptotic programmed cell death	GO:0006915
visceral muscle contraction	GO:0006939
complement response	GO:0006956
complement cascade	GO:0006956
osmotic stress response	GO:0006970
osmotic response	GO:0006970
organelle organisation	GO:0006996
single organism organelle organization	GO:0006996
cell-division cycle	GO:0007049
spindle organisation	GO:0007051
spindle organization and biogenesis during mitosis	GO:0007052
mitotic spindle organisation	GO:0007052
regulation of mitosis	GO:0007088
i-kappab kinase/nf-kappab signaling	GO:0007249
i-kappab kinase/nf-kappab cascade	GO:0007249
i-kappab kinase/nf-kappab signal transduction	GO:0007249
canonical nf-kappab signaling cascade	GO:0007249
ras mediated signal transduction	GO:0007265
axon pathfinding	GO:0007411
cns development	GO:0007417
ectoderm/mesoderm interaction	GO:0007499
gestation	GO:0007565
ageing	GO:0007568
blood clotting	GO:0007596
sensory visual perception	GO:0007601
vision	GO:0007601
sense of sight	GO:0007601
hearing	GO:0007605
perception of sound	GO:0007605
sense of smell	GO:0007608
olfaction	GO:0007608
smell perception	GO:0007608
scent perception	GO:0007608
behaviour	GO:0007610
behavioural response to stimulus	GO:0007610
behavioral response to stimulus	GO:0007610
circadian process	GO:0007623
regulation of cardiac contraction	GO:0008016
cellular protein localization	GO:0008104
protein localisation	GO:0008104
cellular protein localisation	GO:0008104
biological process	GO:0008150
physiological process	GO:0008150
metabolism	GO:0008152
steroid metabolism	GO:0008202
cholesterol metabolism	GO:0008203
ether lipid formation	GO:0008611
ether lipid anabolism	GO:0008611
ether lipid biosynthesis	GO:0008611
ether lipid synthesis	GO:0008611
pyridoxine metabolism	GO:0008614
anabolism	GO:0009058
biosynthesis	GO:0009058
synthesis	GO:0009058
aspartate family amino acid metabolism	GO:0009066
serine family amino acid metabolism	GO:0009069
branched chain family amino acid metabolism	GO:0009081
methionine breakdown	GO:0009087
methionine catabolism	GO:0009087
methionine degradation	GO:0009087
glycoprotein metabolism	GO:0009100
glycoprotein formation	GO:0009101
glycoprotein anabolism	GO:0009101
glycoprotein synthesis	GO:0009101
glycoprotein biosynthesis	GO:0009101
lipoate biosynthesis	GO:0009107
lipoate anabolism	GO:0009107
lipoate formation	GO:0009107
lipoic acid biosynthesis	GO:0009107
lipoic acid synthesis	GO:0009107
lipoic acid biosynthetic process	GO:0009107
lipoic acid formation	GO:0009107
lipoic acid anabolism	GO:0009107
lipoate synthesis	GO:0009107
nucleoside metabolism	GO:0009116
nucleotide metabolism	GO:0009117
ribonucleoside metabolism	GO:0009119
nucleoside monophosphate metabolism	GO:0009123
nucleoside monophosphate biosynthesis	GO:0009124
nucleoside monophosphate anabolism	GO:0009124
nucleoside monophosphate formation	GO:0009124
nucleoside monophosphate synthesis	GO:0009124
purine nucleoside monophosphate metabolism	GO:0009126
purine nucleoside monophosphate anabolism	GO:0009127
purine nucleoside monophosphate biosynthesis	GO:0009127
purine nucleoside monophosphate synthesis	GO:0009127
purine nucleoside monophosphate formation	GO:0009127
nucleoside triphosphate metabolism	GO:0009141
nucleoside triphosphate biosynthesis	GO:0009142
nucleoside triphosphate anabolism	GO:0009142
nucleoside triphosphate synthesis	GO:0009142
nucleoside triphosphate formation	GO:0009142
purine nucleoside triphosphate metabolism	GO:0009144
purine nucleoside triphosphate synthesis	GO:0009145
purine nucleoside triphosphate biosynthesis	GO:0009145
purine nucleoside triphosphate anabolism	GO:0009145
purine nucleoside triphosphate formation	GO:0009145
purine ribonucleotide metabolism	GO:0009150
purine ribonucleotide anabolism	GO:0009152
purine ribonucleotide biosynthesis	GO:0009152
purine ribonucleotide synthesis	GO:0009152
purine ribonucleotide formation	GO:0009152
ribonucleoside monophosphate biosynthesis	GO:0009156
ribonucleoside monophosphate anabolism	GO:0009156
ribonucleoside monophosphate formation	GO:0009156
ribonucleoside monophosphate synthesis	GO:0009156
ribonucleoside monophosphate metabolism	GO:0009161
nucleoside synthesis	GO:0009163
nucleoside biosynthesis	GO:0009163
nucleoside formation	GO:0009163
nucleoside anabolism	GO:0009163
nucleotide anabolism	GO:0009165
nucleotide biosynthesis	GO:0009165
nucleotide formation	GO:0009165
nucleotide synthesis	GO:0009165
purine ribonucleoside monophosphate metabolism	GO:0009167
purine ribonucleoside monophosphate formation	GO:0009168
purine ribonucleoside monophosphate synthesis	GO:0009168
purine ribonucleoside monophosphate anabolism	GO:0009168
purine ribonucleoside monophosphate biosynthesis	GO:0009168
ribonucleoside triphosphate metabolism	GO:0009199
ribonucleoside triphosphate formation	GO:0009201
ribonucleoside triphosphate biosynthesis	GO:0009201
ribonucleoside triphosphate synthesis	GO:0009201
ribonucleoside triphosphate anabolism	GO:0009201
purine ribonucleoside triphosphate metabolism	GO:0009205
purine ribonucleoside triphosphate formation	GO:0009206
purine ribonucleoside triphosphate synthesis	GO:0009206
purine ribonucleoside triphosphate biosynthesis	GO:0009206
purine ribonucleoside triphosphate anabolism	GO:0009206
vitamin b12 metabolism	GO:0009235
vitamin b12 metabolic process	GO:0009235
cobalamin metabolism	GO:0009235
ribonucleotide metabolism	GO:0009259
ribonucleotide synthesis	GO:0009260
ribonucleotide biosynthesis	GO:0009260
ribonucleotide formation	GO:0009260
ribonucleotide anabolism	GO:0009260
oligosaccharide metabolism	GO:0009311
response to radiation stimulus	GO:0009314
response to electromagnetic radiation stimulus	GO:0009314
response to drought	GO:0009414
response to dehydration	GO:0009414
response to thirst	GO:0009414
response to water stimulus	GO:0009415
4-aminobutyrate catabolic process	GO:0009450
gamma-aminobutyric acid degradation	GO:0009450
gamma-aminobutyric acid catabolism	GO:0009450
gaba catabolism	GO:0009450
4-aminobutanoate catabolic process	GO:0009450
4-aminobutanoate catabolism	GO:0009450
4-aminobutyrate catabolism	GO:0009450
gaba catabolic process	GO:0009450
gamma-aminobutyric acid breakdown	GO:0009450
physiological response to wounding	GO:0009611
response to viruses	GO:0009615
hormone mediated signalling	GO:0009755
cellular physiological process	GO:0009987
cell physiology	GO:0009987
lipid localisation	GO:0010876
vitamin b9 transport	GO:0015884
folate transport	GO:0015884
vitamin m transport	GO:0015884
thiamin transport	GO:0015888
vitamin b1 transport	GO:0015888
vitamin b12 transport	GO:0015889
vitamin b5 metabolism	GO:0015939
pantothenate metabolism	GO:0015939
vitamin b5 metabolic process	GO:0015939
lipolysis	GO:0016042
lipid degradation	GO:0016042
lipid catabolism	GO:0016042
lipid breakdown	GO:0016042
cellular component organization in other organism	GO:0016043
cell organisation	GO:0016043
cellular component organization at cellular level	GO:0016043
cellular component organisation at cellular level	GO:0016043
cellular component organisation in other organism	GO:0016043
immediate hypersensitivity response	GO:0016068
carotene metabolism	GO:0016119
sterol metabolism	GO:0016125
sterol synthesis	GO:0016126
sterol biosynthesis	GO:0016126
sterol anabolism	GO:0016126
sterol formation	GO:0016126
biotin-apoprotein ligase activity	GO:0018271
cellular protein metabolic process	GO:0019538
protein metabolism	GO:0019538
cellular protein metabolism	GO:0019538
protein metabolism and modification	GO:0019538
protein metabolic process and modification	GO:0019538
organophosphate metabolism	GO:0019637
ribose phosphate metabolism	GO:0019693
l-ascorbic acid formation	GO:0019853
vitamin c biosynthesis	GO:0019853
l-ascorbic acid biosynthesis	GO:0019853
ascorbate biosynthetic process	GO:0019853
vitamin c biosynthetic process	GO:0019853
l-ascorbic acid synthesis	GO:0019853
ascorbate biosynthesis	GO:0019853
l-ascorbic acid anabolism	GO:0019853
retention of lipids	GO:0019915
storage of lipids	GO:0019915
sequestration of lipids	GO:0019915
lipid retention	GO:0019915
cd40 signalling pathway	GO:0023035
nk cell activation	GO:0030101
blood coagulation, platelet activation	GO:0030168
down-regulation of blood coagulation	GO:0030195
downregulation of blood coagulation	GO:0030195
down regulation of blood coagulation	GO:0030195
rbc differentiation	GO:0030218
erythrocyte cell differentiation	GO:0030218
erythropoiesis	GO:0030218
red blood cell differentiation	GO:0030218
somatotropin secretion	GO:0030252
sperm flagellum movement	GO:0030317
sperm flagellum movement involved in flagellated sperm movement	GO:0030317
flagellated sperm movement	GO:0030317
sperm flagellum movement involved in flagellated sperm motility	GO:0030317
methylammonium metabolic process	GO:0030416
methylammonium metabolism	GO:0030416
methylamine metabolism	GO:0030416
nuclear-receptor-mediated androgen receptor signaling pathway	GO:0030521
androgen receptor signalling pathway	GO:0030521
regulation of neurophysiological process	GO:0031644
regulation of neurological system process	GO:0031644
regulation of neurological process	GO:0031644
response to corticosteroid stimulus	GO:0031960
gonadotrophin secretion	GO:0032274
regulation of gonadotrophin secretion	GO:0032276
negative regulation of gonadotrophin secretion	GO:0032277
down-regulation of gonadotropin secretion	GO:0032277
downregulation of gonadotropin secretion	GO:0032277
down regulation of gonadotropin secretion	GO:0032277
organismal physiological process	GO:0032501
cellular secretion	GO:0032940
response to calciferol	GO:0033280
cholesterol biosynthesis via lathosterol	GO:0033490
cholesterol formation via lathosterol	GO:0033490
cholesterol synthesis via lathosterol	GO:0033490
cholesterol anabolism via lathosterol	GO:0033490
protein amino acid glycosylation in endoplasmic reticulum	GO:0033577
protein amino acid glycosylation in er	GO:0033577
response to cytokine stimulus	GO:0034097
red blood cell homeostasis	GO:0034101
rbc homeostasis	GO:0034101
cellular nitrogen compound metabolism	GO:0034641
cortisol biosynthesis	GO:0034651
cortisol synthesis	GO:0034651
cortisol formation	GO:0034651
nucleobase, nucleoside, nucleotide and nucleic acid anabolism	GO:0034654
nucleobase, nucleoside, nucleotide and nucleic acid formation	GO:0034654
nucleobase, nucleoside, nucleotide and nucleic acid biosynthesis	GO:0034654
social behaviour	GO:0035176
response to interferon beta	GO:0035456
response to fiblaferon	GO:0035456
response to fibroblast interferon	GO:0035456
insulin secretion involved in cellular response to glucose	GO:0035773
dmp	GO:0035882
defecation cycle	GO:0035882
defecation motor program	GO:0035882
pth secretion	GO:0035898
parathormone secretion	GO:0035898
parathyrin secretion	GO:0035898
process resulting in protein modification	GO:0036211
cellular protein modification process	GO:0036211
protein modification	GO:0036211
response to mph	GO:0036271
response to mpd	GO:0036271
response to ritalin	GO:0036271
response to 2',2'-difluorodeoxycytidine	GO:0036272
response to 2'-deoxy-2',2'-difluorocytidine	GO:0036272
response to 5-fluoropyrimidine-2,4(1h,3h)-dione	GO:0036275
response to fluorouracil	GO:0036275
down regulation of locomotion	GO:0040013
down-regulation of locomotion	GO:0040013
downregulation of locomotion	GO:0040013
upregulation of locomotion	GO:0040017
up-regulation of locomotion	GO:0040017
up regulation of locomotion	GO:0040017
t-cell activation	GO:0042110
t lymphocyte activation	GO:0042110
t-lymphocyte activation	GO:0042110
macrophage polarization	GO:0042116
purine nucleoside metabolism	GO:0042278
negative regulation of rem sleep	GO:0042322
downregulation of circadian sleep/wake cycle, rem sleep	GO:0042322
down regulation of circadian sleep/wake cycle, rem sleep	GO:0042322
down-regulation of circadian sleep/wake cycle, rem sleep	GO:0042322
tocopherol metabolism	GO:0042360
tocopherol metabolic process	GO:0042360
vitamin e metabolism	GO:0042360
thyroid hormone metabolism	GO:0042403
catecholamine anabolism	GO:0042423
catecholamine biosynthesis	GO:0042423
catecholamine formation	GO:0042423
catecholamine synthesis	GO:0042423
purine nucleoside biosynthesis	GO:0042451
purine nucleoside synthesis	GO:0042451
purine nucleoside anabolism	GO:0042451
purine nucleoside formation	GO:0042451
ribonucleoside biosynthesis	GO:0042455
ribonucleoside anabolism	GO:0042455
ribonucleoside synthesis	GO:0042455
ribonucleoside formation	GO:0042455
odontogeny	GO:0042476
odontosis	GO:0042476
tooth morphogenesis	GO:0042476
response to hyperosmotic salt stress	GO:0042538
homeostasis	GO:0042592
behavioural response to water deprivation	GO:0042630
behavioral response to drought	GO:0042630
behavioral response to thirst	GO:0042630
macromolecule metabolism	GO:0043170
biopolymer metabolic process	GO:0043170
organismal macromolecule metabolism	GO:0043170
myelin sheath maintenance	GO:0043217
hydrocortisone secretion	GO:0043400
cellular metabolism	GO:0044237
primary metabolism	GO:0044238
cellular anabolism	GO:0044249
cellular synthesis	GO:0044249
cellular formation	GO:0044249
cellular biosynthesis	GO:0044249
cellular biopolymer metabolic process	GO:0044260
cellular macromolecule metabolism	GO:0044260
cellular glucose import in response to insulin stimulus	GO:0044381
interspecies interaction between organisms	GO:0044419
interaction with another species	GO:0044419
interspecies interaction with other organisms	GO:0044419
interspecies interaction	GO:0044419
nuclear subcomponent	GO:0044428
nucleus component	GO:0044428
mitochondrial subcomponent	GO:0044429
mitochondrion component	GO:0044429
cytoskeletal element	GO:0044430
cytoskeleton component	GO:0044430
cytoplasm component	GO:0044444
cellular subcomponent	GO:0044464
thymic t lymphocyte selection	GO:0045061
thymic t-lymphocyte selection	GO:0045061
thymic t-cell selection	GO:0045061
nonspecific immune response	GO:0045087
innate immunity	GO:0045087
protein positioning	GO:0045184
protein recruitment	GO:0045184
establishment of protein localisation	GO:0045184
leucocyte activation	GO:0045321
immune cell activation	GO:0045321
down regulation of heart contraction	GO:0045822
down-regulation of heart contraction	GO:0045822
downregulation of heart contraction	GO:0045822
up-regulation of heart contraction	GO:0045823
positive regulation of cardiac contraction	GO:0045823
up regulation of heart contraction	GO:0045823
upregulation of heart contraction	GO:0045823
negative regulation of mitosis	GO:0045839
downregulation of mitosis	GO:0045839
down regulation of mitosis	GO:0045839
down-regulation of mitosis	GO:0045839
atp metabolism	GO:0046034
xanthine metabolism	GO:0046110
purine ribonucleoside metabolism	GO:0046128
purine ribonucleoside biosynthesis	GO:0046129
purine ribonucleoside anabolism	GO:0046129
purine ribonucleoside synthesis	GO:0046129
purine ribonucleoside formation	GO:0046129
5,6,7,8-tetrahydrobiopterin metabolic process	GO:0046146
tetrahydrobiopterin metabolism	GO:0046146
ribose phosphate biosynthesis	GO:0046390
ribose phosphate anabolism	GO:0046390
ribose phosphate synthesis	GO:0046390
ribose phosphate formation	GO:0046390
vitamin b9 metabolic process	GO:0046655
folic acid metabolism	GO:0046655
vitamin b9 metabolism	GO:0046655
vitamin m metabolic process	GO:0046655
folate metabolism	GO:0046655
vitamin m metabolism	GO:0046655
folate metabolic process	GO:0046655
bone remodelling	GO:0046849
up regulation of saliva secretion	GO:0046878
upregulation of saliva secretion	GO:0046878
up-regulation of saliva secretion	GO:0046878
utilization of ketone bodies	GO:0046952
ketone body degradation	GO:0046952
ketolysis	GO:0046952
ketone body catabolism	GO:0046952
ketone body breakdown	GO:0046952
somatic stem cell renewal	GO:0048103
development of an organ	GO:0048513
organogenesis	GO:0048513
embryonic anatomical structure morphogenesis	GO:0048598
hcy metabolic process	GO:0050667
homocysteine metabolism	GO:0050667
hcy metabolism	GO:0050667
down-regulation of inflammatory response	GO:0050728
downregulation of inflammatory response	GO:0050728
down regulation of inflammatory response	GO:0050728
anti-inflammatory response	GO:0050728
up-regulation of inflammatory response	GO:0050729
upregulation of inflammatory response	GO:0050729
up regulation of inflammatory response	GO:0050729
down-regulation of immune response	GO:0050777
down regulation of immune response	GO:0050777
downregulation of immune response	GO:0050777
regulation of physiological process	GO:0050789
regulation of cellular physiological process	GO:0050794
endocrine physiology	GO:0050886
endocrine physiological process	GO:0050886
physiological response to stimulus	GO:0050896
neuromuscular physiological process	GO:0050905
neuromotor process	GO:0050905
taste	GO:0050909
sense of taste	GO:0050909
gustation	GO:0050909
taste perception	GO:0050909
bitter taste perception	GO:0050913
sweet taste perception	GO:0050916
sensory perception of orientation with respect to gravity	GO:0050957
cofactor metabolism	GO:0051186
establishment of localisation	GO:0051234
response to glucocorticoid stimulus	GO:0051384
acth secretion	GO:0051458
adrenotropin secretion	GO:0051458
adrenocorticotropic hormone secretion	GO:0051458
adrenotropic hormone secretion	GO:0051458
corticotropic hormone secretion	GO:0051458
establishment and maintenance of cellular localization	GO:0051641
cellular localisation	GO:0051641
establishment and maintenance of localization in cell or cell membrane	GO:0051641
single organism cellular localization	GO:0051641
localization of mitochondria	GO:0051646
mitochondria localization	GO:0051646
localization of mitochondrion	GO:0051646
mitochondrion localisation	GO:0051646
establishment and maintenance of mitochondrion localization	GO:0051646
establishment and maintenance of mitochondria localization	GO:0051646
mitochondrial localization	GO:0051646
establishment of localisation in cell	GO:0051649
interaction with host	GO:0051701
cell cycle modulation	GO:0051726
regulation of cell cycle progression	GO:0051726
modulation of cell cycle progression	GO:0051726
cell cycle regulation	GO:0051726
regulation of progression through cell cycle	GO:0051726
control of cell cycle progression	GO:0051726
pi homeostasis	GO:0055062
regulation of calcium ion concentration	GO:0055074
nucleobase, nucleoside and nucleotide metabolism	GO:0055086
heart beating	GO:0060047
urine voiding	GO:0060073
urination	GO:0060073
relaxation of vascular smooth muscle	GO:0060087
vascular smooth muscle relaxation	GO:0060087
noradrenaline secretion, neurotransmission	GO:0061533
up regulation of glucagon secretion	GO:0070094
up-regulation of glucagon secretion	GO:0070094
upregulation of glucagon secretion	GO:0070094
nephron absorption	GO:0070293
renal reabsorption	GO:0070293
blood platelet aggregation	GO:0070527
vdr signaling pathway	GO:0070561
vitamin d receptor signalling pathway	GO:0070561
nuclear receptor-mediated vitamin d signaling pathway	GO:0070561
intracellular vitamin d receptor signaling pathway	GO:0070561
uv-damaged dna endonuclease-dependent excision repair	GO:0070914
uvde-dependent excision repair	GO:0070914
uver	GO:0070914
vocalisation behaviour	GO:0071625
organic molecular entity metabolic process	GO:0071704
organic molecular entity metabolism	GO:0071704
organic substance metabolism	GO:0071704
purine and derivative metabolic process	GO:0072521
purine-containing compound metabolism	GO:0072521
purine-containing compound anabolism	GO:0072522
purine-containing compound synthesis	GO:0072522
purine-containing compound formation	GO:0072522
purine and derivative biosynthetic process	GO:0072522
purine-containing compound biosynthesis	GO:0072522
response to hu	GO:0072710
cellular cysteine homeostasis	GO:0080145
cysteine homeostasis	GO:0080145
response to bronchodilator agent	GO:0097366
regulation of small intestine emptying	GO:0120060
regulation of small bowel emptying	GO:0120060
regulation of renin release into blood stream	GO:1900133
down regulation of renin secretion into blood stream	GO:1900134
negative regulation of renin release into blood stream	GO:1900134
down-regulation of renin release into blood stream	GO:1900134
downregulation of renin release into blood stream	GO:1900134
down-regulation of renin secretion into blood stream	GO:1900134
down regulation of renin release into blood stream	GO:1900134
downregulation of renin secretion into blood stream	GO:1900134
up-regulation of renin secretion into blood stream	GO:1900135
upregulation of renin release into blood stream	GO:1900135
positive regulation of renin release into blood stream	GO:1900135
up regulation of renin secretion into blood stream	GO:1900135
up regulation of renin release into blood stream	GO:1900135
up-regulation of renin release into blood stream	GO:1900135
upregulation of renin secretion into blood stream	GO:1900135
carbohydrate derivative metabolism	GO:1901135
carbohydrate derivative formation	GO:1901137
carbohydrate derivative anabolism	GO:1901137
carbohydrate derivative biosynthesis	GO:1901137
carbohydrate derivative synthesis	GO:1901137
nucleoside phosphate synthesis	GO:1901293
nucleoside phosphate anabolism	GO:1901293
nucleoside phosphate biosynthesis	GO:1901293
nucleoside phosphate formation	GO:1901293
organic cyclic compound metabolism	GO:1901360
organic cyclic compound anabolism	GO:1901362
organic cyclic compound biosynthesis	GO:1901362
organic cyclic compound formation	GO:1901362
organic cyclic compound synthesis	GO:1901362
response to acetaminophen	GO:1901554
response to cpt	GO:1901563
organic molecular entity formation	GO:1901576
organic substance biosynthesis	GO:1901576
organic substance anabolism	GO:1901576
organic molecular entity synthesis	GO:1901576
organic substance formation	GO:1901576
organic substance synthesis	GO:1901576
organic molecular entity anabolism	GO:1901576
organic molecular entity biosynthesis	GO:1901576
organic molecular entity biosynthetic process	GO:1901576
glycosyl compound metabolism	GO:1901657
glycosyl compound formation	GO:1901659
glycosyl compound synthesis	GO:1901659
glycosyl compound biosynthesis	GO:1901659
glycosyl compound anabolism	GO:1901659
up regulation of platelet aggregation	GO:1901731
upregulation of blood platelet aggregation	GO:1901731
up-regulation of platelet aggregation	GO:1901731
positive regulation of blood platelet aggregation	GO:1901731
upregulation of platelet aggregation	GO:1901731
up regulation of blood platelet aggregation	GO:1901731
up-regulation of blood platelet aggregation	GO:1901731
mucopolysaccharide metabolism	GO:1903510
down-regulation of nociception	GO:1904057
downregulation of nociception	GO:1904057
down regulation of sensory perception of pain	GO:1904057
negative regulation of nociception	GO:1904057
down regulation of nociception	GO:1904057
downregulation of sensory perception of pain	GO:1904057
down-regulation of sensory perception of pain	GO:1904057
positive regulation of nociception	GO:1904058
up-regulation of nociception	GO:1904058
upregulation of sensory perception of pain	GO:1904058
up regulation of nociception	GO:1904058
up-regulation of sensory perception of pain	GO:1904058
up regulation of sensory perception of pain	GO:1904058
upregulation of nociception	GO:1904058
glucose transmembrane transport	GO:1904659
down regulation of saliva secretion	GO:1905747
