Pathway	Cancer_type	logFC	AveExpr	t	P.Value	adj.P.Val	B	Sample_size
Trail	LUAD	-34.7162324560355	28.8312288897261	-6.96543831120619	1.56207130728324e-10	3.12414261456648e-10	-1.53415073257036	128
Estrogen	KICH	-98.7690431071791	-26.5333865950896	-8.04654287821317	1.52274380947495e-10	2.13184133326493e-09	-3.39397341647161	50
EGFR	THCA	78.8627635094427	-55.6232714861571	6.46312242585883	2.44587898123469e-09	6.84846114745712e-09	-1.40928800419616	118
Androgen	HNSC	-68.0329589418662	90.1625572522645	-6.64165731995112	2.75216083764098e-09	7.70605034539475e-09	-2.88128641691986	86
TGFb	LIHC	-71.8784774641895	-54.6402457839831	-6.5661899585402	2.53262271099389e-09	8.8641794884786e-09	-2.57289343514266	98
p53	COREAD	-76.6337343046638	-41.2236469236678	-6.29071721647888	7.90786154685698e-09	1.38387577069997e-08	-1.98641527000203	103
Hypoxia	LUAD	159.747134067426	14.9285420702605	6.0376755962763	1.59502691628914e-08	2.79129710350599e-08	-2.15655971546083	128
JAK.STAT	LUSC	-356.023518644895	191.654407813835	-6.03869965410587	2.58781160884925e-08	3.62293625238895e-08	-2.50395519773532	102
NFkB	LIHC	-298.976219503682	-40.093256309195	-6.1033686341397	2.11830519385077e-08	5.93125454278215e-08	-2.78297896487366	98
PI3K	HNSC	174.111083261238	161.37941636573	6.08530636444376	3.20545499762658e-08	7.47939499446202e-08	-3.08381200896896	86
VEGF	STAD	57.4215136771166	8.14624064618735	6.50025393908703	1.15625163925462e-08	8.09376147478232e-08	-3.29275740430873	68
EGFR	HNSC	104.530501174569	118.459233894443	5.98327661694955	4.98943781754144e-08	9.97887563508288e-08	-3.12134556631673	86
Trail	BRCA	-22.1649579531324	-17.4688462439085	-5.67407560142874	4.09656411277165e-08	1.43379743947008e-07	-0.777966319842674	235
Hypoxia	LIHC	-139.173152853566	-71.6113061070638	-5.79809195006547	8.31063678614738e-08	1.93914858343439e-07	-2.92209676104091	98
Hypoxia	HNSC	163.262940550429	111.4791245661	5.6385180165055	2.17940677274792e-07	3.81396185230886e-07	-3.24869765194684	86
EGFR	STAD	103.120003701636	58.2571228317469	6.00963375444407	8.4265992171415e-08	3.93241296799937e-07	-3.42322318545733	68
Androgen	PRAD	162.782163718492	610.88546580698	5.78407308508932	7.5484691775433e-08	5.28392842428031e-07	-2.11703003715233	106
p53	STAD	-119.561669116199	4.15378610918136	-5.83531523366849	1.69107212046214e-07	5.91875242161749e-07	-3.47054292893434	68
TNFa	LUSC	-354.170571396829	536.703930957799	-5.37334161361611	4.96023804195872e-07	6.31303023522019e-07	-2.86298783578554	102
p53	KIRP	105.211582763517	95.4378015937531	5.96120122448513	1.20257475027608e-07	8.41802325193257e-07	-3.44623891064153	64
JAK.STAT	HNSC	477.624009505788	159.904336719426	5.32409313183195	8.10482531171523e-07	1.26075060404459e-06	-3.36511516202256	86
WNT	LUAD	-14.2410842794477	29.3374463339723	-5.18255686775785	8.34524773769124e-07	1.2981496480853e-06	-2.71593618012798	128
EGFR	LUSC	72.7237446415621	36.8208996754078	5.13811938251777	1.35320930201988e-06	1.57874418568986e-06	-2.98852293101496	102
Hypoxia	PRAD	-57.8483543108613	-76.0382337512335	-5.37824442086636	4.56559669500722e-07	2.13061179100337e-06	-2.39799116009266	106
JAK.STAT	BRCA	228.193621013561	-10.4550948628286	5.08100300732616	7.67019940047477e-07	2.14765583213294e-06	-1.49781392865712	235
p53	UCEC	-148.452923850397	-3.71907299552064	-5.68505422346128	8.96901719972534e-07	6.27831203980774e-06	-4.10386833133403	46
PI3K	STAD	99.1181346120741	117.047144246939	4.84049015395979	7.90995453556295e-06	2.21478726995763e-05	-3.74665771152013	68
Trail	PRAD	-20.8007014189068	-7.92500927873538	-4.74065396934331	6.70520243587594e-06	2.34682085255658e-05	-2.82962480392913	106
Trail	LIHC	-30.0202845113772	-11.3873016987309	-4.59818839208178	1.28237580884419e-05	2.56475161768838e-05	-3.46096738720791	98
Estrogen	KIRP	-74.7696420059867	25.1847146596964	-4.94673346138759	5.82482937814681e-06	2.71825370980185e-05	-3.72060472508829	64
TNFa	STAD	299.413298680158	185.049991263555	4.72445020834835	1.21664704487985e-05	2.83884310471964e-05	-3.7791433954572	68
Hypoxia	BRCA	-78.9334410558202	-25.0786951190196	-4.44103934958377	1.38014038797143e-05	2.85423279519971e-05	-2.21489843478829	235
TGFb	BRCA	22.3799227254434	16.3008671402273	4.41453852557113	1.54572729389143e-05	2.85423279519971e-05	-2.24311367286325	235
WNT	BRCA	-8.89928645526768	16.5152608963782	-4.40193834380778	1.63099016868555e-05	2.85423279519971e-05	-2.25648560471122	235
Androgen	LUSC	-44.2057803242274	60.31801364521	-4.341715986948	3.35928695017385e-05	3.61769363864876e-05	-3.40164768704733	102
TNFa	COREAD	164.221070873121	114.591781211637	4.37237821835391	2.96045446702543e-05	4.60515139315067e-05	-3.18419092571414	103
TNFa	HNSC	258.871047352578	333.788824822379	4.29378255674316	4.62750711642955e-05	6.47850996300137e-05	-3.74075483598526	86
EGFR	UCEC	123.067931673048	-37.1257594474298	4.84453045055236	1.52230184542406e-05	7.10407527864559e-05	-4.19826767780366	46
TGFb	LUAD	-32.4018286315306	35.704333960394	-4.1717128201858	5.55400944824401e-05	7.77561322754161e-05	-3.33407715554687	128
NFkB	LUAD	-180.531173464682	462.705269287983	-4.12096138103198	6.75029773993687e-05	8.59128803264692e-05	-3.36332523310367	128
Hypoxia	UCEC	217.454188046407	-13.1412831100048	4.68263244074736	2.59661806027123e-05	9.08816321094931e-05	-4.21721675972665	46
TNFa	KICH	-361.535507738393	-278.314573301898	-4.7351283711786	1.87741602423353e-05	0.000131419121696347	-3.96179686642096	50
WNT	STAD	16.0320254730986	-1.88815258130257	4.24150749482884	6.93765378300358e-05	0.000138753075660072	-3.91363193357143	68
Hypoxia	THCA	45.2238964807203	-144.798778810103	4.14383792596264	6.47900427662673e-05	0.000151176766454624	-3.12832856550862	118
Trail	UCEC	-38.6988207180275	-7.28938105184468	-4.41931013990864	6.12067055165807e-05	0.000171378775446426	-4.24841688065096	46
NFkB	HNSC	215.262115528588	276.875403932072	3.93265242430867	0.000170543132315462	0.000217054895674225	-3.86703406269734	86
Estrogen	BRCA	67.7075671201035	164.924502785809	3.85790695923939	0.000147865634034486	0.000230013208498089	-2.80606622822141	235
Hypoxia	STAD	-123.283458948495	-117.191959334436	-4.00884933556553	0.000155306126972332	0.000271785722201581	-3.97753411434663	68
TGFb	STAD	37.0894346198408	37.1341896360002	3.91355054033107	0.000214580277777406	0.000333791543209299	-4.00344811493632	68
TNFa	LIHC	-204.492180883298	182.544862264249	-3.85155091441184	0.000210260301959099	0.000367955528428423	-3.77638822797557	98
PI3K	UCEC	150.21006289874	-40.92930112713	4.09540471853366	0.000171859622234679	0.00040100578521425	-4.28724245037531	46
MAPK	UCEC	133.192976352407	-77.2056723463217	4.03542835149586	0.000207422389772977	0.000414844779545955	-4.29446219918101	46
TGFb	KIRP	-37.1319849172653	-11.652651450411	-4.09885798883777	0.00011993699677322	0.000419779488706269	-3.95324823905954	64
VEGF	KIRP	30.0345904667503	-67.4284267809891	4.00429182644543	0.000165315308545209	0.000462882863926584	-3.97885233624548	64
Androgen	LUAD	-33.3836099571672	60.3371738703096	-3.58289943264977	0.000482283253952284	0.000562663796277664	-3.66002257527397	128
PI3K	KIRC	-51.6056315399133	-55.1071427483515	-3.58383850943265	0.000463226123504706	0.000648516572906588	-3.21709666963084	144
JAK.STAT	LIHC	-265.563229133586	150.346762121076	-3.61037218308614	0.000485460810251946	0.000755161260391916	-3.87257217759858	98
MAPK	KIRC	43.1277788054827	-72.5998925038102	3.50976955767388	0.000599733581453117	0.000763297285485785	-3.27511959496032	144
JAK.STAT	LUAD	-140.902896720749	225.89311326791	-3.46428579843506	0.000724905634545326	0.000780667606433428	-3.72181929640523	128
JAK.STAT	KICH	-199.478105714209	-295.91653802618	-4.05313559349467	0.000178498525835165	0.000832993120564105	-4.09925046962006	50
Trail	BLCA	-50.4790726726227	3.56005548790886	-4.49115334580158	6.04948307132841e-05	0.000846927629985977	-4.36629036291168	40
TNFa	LUAD	-169.043239713457	472.03393422252	-3.4112592968325	0.000867033547249223	0.000867033547249223	-3.74898680592338	128
WNT	PRAD	-13.0057889971239	-7.35668735100985	-3.68212379007555	0.000366846928541863	0.00102717139991722	-3.49629088218566	106
EGFR	KICH	-68.7275292494187	-78.7914767137611	-3.88635175965245	0.000303212645857009	0.00106124426049953	-4.13294692251771	50
TGFb	KICH	-45.3565647227631	-3.433819158245	-3.71904274885972	0.000510895979077071	0.0014305087414158	-4.16661082477874	50
EGFR	LIHC	-48.5135032691408	-82.3122097694226	-3.35583050474811	0.00112954588586456	0.00158136424021039	-3.97026705718975	98
WNT	UCEC	20.844213807977	14.7415764273942	3.3977952845294	0.00142508713754189	0.0024939024906983	-4.37094827805783	46
NFkB	STAD	200.949495764818	199.556371059301	3.14301783654376	0.00248710486612043	0.00348194681256861	-4.20438047526382	68
PI3K	KICH	72.0168555934426	-67.8069060324713	3.35848369294137	0.00151542107232084	0.00353598250208195	-4.23822493458533	50
JAK.STAT	STAD	268.026803928325	108.517359111822	3.07514315851796	0.00303937010723199	0.00386828922738617	-4.22111449257733	68
MAPK	BLCA	118.607908364829	10.5130525266976	3.57275200135558	0.000951413378301953	0.00508649125918241	-4.43511264755612	40
p53	BLCA	-127.270204843526	94.819797091071	-3.52538358552592	0.00108996241268194	0.00508649125918241	-4.43869775315851	40
MAPK	KICH	-91.0585859441068	-148.900022076864	-3.17898521890115	0.00255008721067975	0.0051001744213595	-4.2731426403471	50
VEGF	LIHC	18.4788408983664	-22.3255105735228	2.90382939563267	0.00456146612096362	0.00580550233577189	-4.1325080230031	98
VEGF	PRAD	14.2895661156808	-100.560557327127	3.03371244520444	0.00304252127423897	0.00709921630655759	-3.85614316757922	106
Androgen	BRCA	-28.5631546623353	75.8543155325412	-2.71951307549355	0.00702747374852867	0.00983846324794014	-3.76110165452353	235
TNFa	THCA	175.008683913731	-246.906225453399	2.85706583622812	0.00506016309574756	0.0101203261914951	-3.90985658337803	118
Hypoxia	KICH	-84.2013251024415	-55.0350765268353	-2.88365504819101	0.00580580330259587	0.0101601557795428	-4.32905335217154	50
Androgen	STAD	-38.7230407066431	4.02711747239379	-2.68521182490887	0.00911892418819619	0.0106387448862289	-4.31321369269815	68
NFkB	KICH	-182.209230139171	-206.14431365763	-2.72441229546016	0.00888042716685519	0.0138139978151081	-4.35820685058014	50
WNT	KICH	-12.6548259887262	-2.45754798375284	-2.60222598758808	0.0121890804807032	0.0170647126729845	-4.38001509867746	50
JAK.STAT	KIRP	90.7077111185386	-236.784177004955	2.73760811844312	0.00801647381807991	0.0187051055755198	-4.29982534465646	64
NFkB	COREAD	112.604064183472	122.312364529833	2.50731222272972	0.0137380909797144	0.0192333273716001	-4.14546936142436	103
Hypoxia	COREAD	49.5956655812986	-92.8259607479097	2.41218270929675	0.0176378358527061	0.0207451646140222	-4.18446263861287	103
PI3K	COREAD	59.041780804612	65.0277951160931	2.40904939297127	0.0177815696691619	0.0207451646140222	-4.18572645172885	103
JAK.STAT	THCA	125.662246081404	-242.955438235248	2.41854639976455	0.0171208932429821	0.0299615631752187	-4.12717636976548	118
EGFR	PRAD	-26.4239680176364	-115.734535444834	-2.46720566160244	0.0152288071575481	0.0304576143150962	-4.12930299864277	106
Hypoxia	KIRP	81.3328139310047	-1.19266862438469	2.43162169071226	0.0178595271369984	0.0357190542739968	-4.3675236480619	64
VEGF	BLCA	40.3984118755921	8.23361779148491	2.57280866079063	0.0139684841526621	0.0434931682598155	-4.50878592092693	40
PI3K	BLCA	94.1111842451294	86.2664815679956	2.52952889149565	0.0155332743785055	0.0434931682598155	-4.5117958848935	40
NFkB	BRCA	-68.5522958027037	-10.1990060944988	-2.11430453667887	0.0355461876615483	0.0452406024783342	-4.1482973746842	235
Estrogen	STAD	-21.0261174041336	-8.50731179406641	-1.97578545046656	0.0522811104927837	0.056302734376844	-4.45886202813544	68
TGFb	LUSC	-16.6795517760096	56.5582430871363	-1.908021548996	0.0592217851725327	0.0592217851725327	-4.40065240925383	102
WNT	HNSC	-7.49673361741911	17.2444458863434	-1.97613320118744	0.0513728620628811	0.0599350057400279	-4.43394126727168	86
Estrogen	HNSC	-19.892070261062	2.4759068886675	-1.94000336207637	0.055684791635925	0.0599682371463807	-4.44173948970186	86
Estrogen	KIRC	-14.839730027008	48.5410648718635	-1.92311418398468	0.0564484440191648	0.065856518022359	-4.27884813367127	144
PI3K	THCA	-31.1185714715957	-142.408382837165	-2.04754670839955	0.042838794185727	0.0666381242889087	-4.28739923129047	118
Trail	KICH	-13.869728508752	-8.76398502429034	-1.88279316775288	0.0656183744892788	0.0791856536901508	-4.49572881278504	50
Androgen	KICH	27.882351562659	32.6241970310967	1.86673769523312	0.0678734174487007	0.0791856536901508	-4.49801640721221	50
p53	KICH	-38.798198534939	33.1900085286412	-1.81279553302216	0.0759363005779094	0.0817775544685178	-4.50559415934149	50
MAPK	LIHC	-33.6972475609227	-117.795855679669	-1.76384056571575	0.0808970091742117	0.0943798440365803	-4.46074839376379	98
Estrogen	BLCA	-33.6989379208141	-37.4907719990692	-2.06261466482842	0.0457901166070257	0.106843605416393	-4.54257981659036	40
Androgen	BLCA	-47.4555653852814	-16.3830116087004	-1.94909516448312	0.0584343877505442	0.116868775501088	-4.54950547366561	40
JAK.STAT	COREAD	-84.2021916866404	-77.2081173558493	-1.58417270795082	0.11623994714677	0.125181481542676	-4.46921180988719	103
MAPK	BRCA	-15.7749984352623	-7.2410419154502	-1.53883232232658	0.125194744143815	0.134174639749202	-4.43164407111723	235
TNFa	BRCA	-48.0795638522957	-129.748533405151	-1.53873430465645	0.125218677594854	0.134174639749202	-4.43168504039527	235
EGFR	BRCA	10.4172204037841	-43.239241920652	1.50304325785389	0.134174639749202	0.134174639749202	-4.44643550645175	235
VEGF	KICH	15.4957110294747	-59.7138998172131	1.51908961961715	0.135108734891856	0.135108734891856	-4.54377055118055	50
NFkB	KIRP	88.8466203522972	-134.159074253588	1.79573721300658	0.0772874232315447	0.135252990655203	-4.48956978778001	64
JAK.STAT	BLCA	183.661348795592	-77.3709178945281	1.72045173049115	0.0932024944727325	0.150876915042053	-4.56264857107907	40
Hypoxia	BLCA	120.353305348207	52.0804370700161	1.70014334345537	0.0969923025270343	0.150876915042053	-4.56375975899094	40
NFkB	BLCA	-147.655721948734	141.532270079033	-1.52599721049709	0.135004854564916	0.184266938192706	-4.57288035188306	40
TNFa	BLCA	-162.379918411258	125.266220712791	-1.48775773576702	0.14478116572284	0.184266938192706	-4.57478117410997	40
TNFa	KIRP	94.7828701171811	-121.212710534358	1.58222488608895	0.118559640211527	0.184426106995708	-4.52392137623267	64
MAPK	KIRP	28.2876010220502	-147.594069254852	1.50955365469437	0.136110440004851	0.190554616006791	-4.53476884659914	64
TNFa	PRAD	-71.0675168005855	-297.480100267785	-1.48834371284195	0.139648398313919	0.200707522225852	-4.48860888375433	106
TGFb	PRAD	-10.2398295246739	8.8118469819874	-1.4872996401086	0.13992345678552	0.200707522225852	-4.48890656695214	106
JAK.STAT	PRAD	-58.4491644698114	-360.742556208883	-1.47437879267299	0.143362515875609	0.200707522225852	-4.49257450944464	106
Estrogen	THCA	12.1064059524909	-25.3799207582562	1.47283043101427	0.143476319094426	0.200866846732196	-4.48845710474426	118
PI3K	LIHC	28.5020264348149	-134.553111775403	1.31903455878497	0.190252820154647	0.204887652474235	-4.55066989461855	98
NFkB	PRAD	-64.940502480677	-277.894337561535	-1.38465270290489	0.169085091110095	0.215199206867394	-4.51722399450502	106
WNT	KIRP	5.79034030551404	-1.06884864062527	1.3363546355743	0.186195643672364	0.236976273764826	-4.55881415077168	64
EGFR	KIRP	-17.1888341961817	-82.8258640462423	-1.15659530421464	0.251764313661509	0.293725032605094	-4.58097607960504	64
Estrogen	COREAD	-7.30468445343178	-18.3908025011021	-1.01605688830488	0.311998478121173	0.311998478121173	-4.60168124689252	103
WNT	KIRC	2.19753574824859	2.6666960421623	1.00150793600969	0.318268948514967	0.34275117532381	-4.61417549266205	144
Androgen	UCEC	-19.0621916893537	-99.2953834628188	-1.1662447001395	0.249620458428081	0.388298490888125	-4.58652470466476	46
JAK.STAT	UCEC	-99.917075605135	-171.222840636404	-1.07827061011299	0.286622779780088	0.401271891692124	-4.59161404171403	46
NFkB	THCA	50.6101238643733	-216.258922261446	0.854260798305853	0.394702618974913	0.502348787786253	-4.63527076834036	118
MAPK	PRAD	-7.88461844831386	-198.423518681019	-0.656055417405217	0.51321917273527	0.598755701524482	-4.66221690033168	106
TGFb	BLCA	-11.4550006191469	67.8053074301723	-0.61692100294119	0.540838355869822	0.630978081848125	-4.60646673538326	40
TGFb	THCA	3.53052724354028	-50.9831740572226	0.610664356639423	0.542603804625551	0.633037772063142	-4.67216503753615	118
WNT	LIHC	-1.56946795443648	-18.2980700865291	-0.468977608434274	0.640134542888077	0.640134542888077	-4.65309155536927	98
Trail	HNSC	2.57090866330805	-14.4914994661458	0.386466806491017	0.70011373388511	0.70011373388511	-4.6491806990759	86
PI3K	PRAD	7.75926512866722	-69.3432017754241	0.454676744670029	0.650277575613851	0.700298927584147	-4.68434793568277	106
Trail	KIRP	3.50858767390819	4.41016209243056	0.444705204853746	0.658042767214076	0.708661441615158	-4.6386834314178	64
Trail	STAD	-3.00318711887	36.8190291422515	-0.30600330070466	0.760546748134336	0.760546748134336	-4.64351334728797	68
WNT	BLCA	2.81482315400858	10.7857995431161	0.341976994291857	0.734187045105832	0.790662971652434	-4.61126218969619	40
PI3K	KIRP	5.18181745558873	-98.8225968624894	0.252695074813378	0.801318914387531	0.801318914387531	-4.64559095775453	64
WNT	THCA	-0.799084148937984	-6.98049093489595	-0.288744859691493	0.773286525995281	0.810744053757964	-4.70224776708679	118
Trail	THCA	1.67377808413888	12.6891612364977	0.240006869210362	0.810744053757964	0.810744053757964	-4.70493173627614	118
EGFR	KIRC	1.65278257341041	-71.9689014556752	0.190022961460587	0.849559970473303	0.849559970473303	-4.73714988502166	144
NFkB	UCEC	-30.3848436712807	-227.456344294872	-0.340390678026457	0.735136227957183	0.905089192846389	-4.61931417196944	46
TNFa	UCEC	16.919877190674	-224.860804357465	0.165145336537672	0.869564550679528	0.905089192846389	-4.62171566194384	46
TGFb	UCEC	-2.59879729885405	3.61942789172737	-0.154203890883067	0.878134108374652	0.905089192846389	-4.62181056518777	46
Estrogen	UCEC	-2.66757125231551	55.5474159332404	-0.11990443888362	0.905089192846389	0.905089192846389	-4.62206599419531	46
EGFR	BLCA	-1.01425827217546	59.2859273493385	-0.0331290848341191	0.973739041693492	0.973739041693492	-4.61338936583818	40
Estrogen	PRAD	-0.226658418475997	-4.2518075110079	-0.0308880380681153	0.97541728668358	0.97541728668358	-4.70478266276031	106
